FYS 162     ,Gender and the Western  ,WI  ,2013
FYS 166     ,"Rock, Rap & Religion in America  ",WI  ,2013
FYS 167     ,Introduction to Drawing  ,WI  ,2013
FYS 168     ,Improvisation & People Skills  ,WI  ,2013
FYS 169     ,Work of Art from Hardy to Jay-Z  ,WI  ,2013
FYS 170     ,The Song and the Singer  ,WI  ,2013
FYS 171     ,Minority Cultures of Europe  ,WI  ,2013
FYS 172     ,Zen & the Art of Going toCollege  ,WI  ,2013
FYS 173     ,China's Modern Environmental History ,WI  ,2013
FYS 174     ,God in Global Landscapes  ,WI  ,2013
FYS 175     ,Coal in Appalachia  ,WI  ,2013
FYS 176     ,Statistics in Sports  ,WI  ,2013
FYS 177     ,Understanding the Games We Play  ,WI  ,2013
FYS 178     ,Art ofPhilosophy:Plato'sRepublic  ,WI  ,2013
FYS 179     ,Society and American Education  ,WI  ,2013
GOV 334     ,Congress  ,WI  ,2013
GOV 406     ,Machiavelli's Florence  ,WI  ,2013
GOV 445     ,Current European Union Problems  ,WI  ,2013
GOV 455     ,Personality and Power inPolitics  ,WI  ,2013
GOV 464     ,Religion &International Politics  ,WI  ,2013
HIS 409     ,Doctors/Medicine in Ancient Rome  ,WI  ,2013
HIS 430     ,The Holy Land: Historical & Theological Studies of Israel ,WI  ,2013
HIS 465     ,Latin America at the Movies  ,WI  ,2013
HIS 466     ,Food in U.S. History  ,WI  ,2013
HIS 481     ,Vietnam in Film  ,WI  ,2013
HUM 220     ,Queer Cultures:PublicPerceptions  ,WI  ,2013
HUM 261     ,Rainmaking: The Study of and Preparation for Leadership ,WI  ,2013
HUM 300     ,Group Registration  ,WI  ,2013
INT 400     ,Internship  ,WI  ,2013
IST 401     ,Independent Study  ,WI  ,2013
MUS 215     ,Music & Culture/African Diaspora  ,WI  ,2013
MUS 402     ,Research Participation  ,WI  ,2013
PHI 316     ,Feminism and Philosophy  ,WI  ,2013
PHY 220     ,General Physics-II  ,WI  ,2013
PHY 410     ,Computational Physics  ,WI  ,2013
PSY 325     ,Child Abnormal Psychology  ,WI  ,2013
REL 311     ,The Holy Land: Historical & Theological Studies of Israel ,WI  ,2013
REL 347     ,Liberation Theologies  ,WI  ,2013
SOC 322     ,Global Migration  ,WI  ,2013
SPA 464     ,Borders in Latin America  ,WI  ,2013
AMS 120     ,Introduction to Leadership  ,SP  ,2013
AMS 220     ,Advanced Leadership-II  ,SP  ,2013
AMS 420     ,Command Management  ,SP  ,2013
ANT 110     ,Intro to Cultural Anthropology  ,SP  ,2013
ANT 246     ,Folklore/Expresv Culture Mexico  ,SP  ,2013
ANT 301     ,Qualitative Field Methods  ,SP  ,2013
ANT 307     ,Feminist Ethnography&Methodology  ,SP  ,2013
ANT 315     ,Community-Based Anthropology  ,SP  ,2013
ANT 346     ,Folklore/Expresv Culture Mexico  ,SP  ,2013
ANT 350     ,Ecological Anthropology  ,SP  ,2013
ANT 360     ,GIS and the Environment  ,SP  ,2013
ANT 361     ,Forensic Anthroplogy  ,SP  ,2013
ANT 380     ,Archaeology: Theory & Practice  ,SP  ,2013
ANT 392     ,Peoples of South America  ,SP  ,2013
ANT 400     ,Directed Study  ,SP  ,2013
ANT 500     ,Advanced Seminar  ,SP  ,2013
ARH 261     ,Survey of Western Art-II  ,SP  ,2013
ARH 370     ,N. European Art:4-16th Centuries  ,SP  ,2013
ARH 383     ,Social Life of Prints  ,SP  ,2013
ARH 399     ,Art/Architecture Washington D.C.  ,SP  ,2013
ARH 500     ,Senior Thesis in Art History  ,SP  ,2013
ARS 110     ,Introduction to Drawing  ,SP  ,2013
ARS 210     ,Painting & Drawing-I  ,SP  ,2013
ARS 220     ,Painting & Drawing-II  ,SP  ,2013
ARS 230     ,Ceramics-I  ,SP  ,2013
ARS 240     ,Hot Glass-I  ,SP  ,2013
ARS 320     ,Painting & Drawing-III  ,SP  ,2013
ARS 321     ,Painting & Drawing-IV  ,SP  ,2013
ARS 330     ,Ceramics-II  ,SP  ,2013
ARS 331     ,Ceramics-III  ,SP  ,2013
ARS 340     ,Hot Glass-II  ,SP  ,2013
ARS 400     ,Directed Study  ,SP  ,2013
ARS 430     ,Ceramics-IV  ,SP  ,2013
ARS 499     ,Senior Exhibition  ,SP  ,2013
ASN 310     ,Asian Humanities  ,SP  ,2013
ASN 401     ,Independent Study  ,SP  ,2013
BIO 110     ,"Evolution, Biodiversity, Ecology  ",SP  ,2013
BIO 110L    ,BIO 110 Lab  ,SP  ,2013
BIO 210     ,Introduction to Genetics  ,SP  ,2013
BIO 210L    ,BIO 210 Lab  ,SP  ,2013
BIO 320     ,Natural History of Vertebrates  ,SP  ,2013
BIO 335     ,Developmental Biology  ,SP  ,2013
BIO 335L    ,BIO 335 lab  ,SP  ,2013
BIO 340     ,Microbiology-I  ,SP  ,2013
BIO 340L    ,BIO 340 Lab  ,SP  ,2013
BIO 360     ,Plant Biology  ,SP  ,2013
BIO 360L    ,BIO 360 lab  ,SP  ,2013
BIO 375     ,Conservation Biology  ,SP  ,2013
BIO 401     ,Independent Study  ,SP  ,2013
BIO 402     ,Research Participation  ,SP  ,2013
BIO 500     ,Senior Seminar  ,SP  ,2013
BMB 210     ,Intro Cellular & Molecular Biol  ,SP  ,2013
BMB 210L    ,BMB 210 lab  ,SP  ,2013
BMB 320     ,Cellular Metabolism  ,SP  ,2013
BMB 340     ,Cell Biology  ,SP  ,2013
BMB 345     ,Lab in Cell Biology  ,SP  ,2013
BMB 400     ,Directed Study  ,SP  ,2013
BMB 402     ,Research Participation  ,SP  ,2013
BMB 500     ,Senior Seminar  ,SP  ,2013
BNS 210     ,Res.Methods/Behavioral Neurosci.  ,SP  ,2013
BNS 210L    ,BNS 210 Lab  ,SP  ,2013
BNS 250     ,Introduction to Research  ,SP  ,2013
BNS 295     ,Physiological Psychology  ,SP  ,2013
BNS 315     ,Health Psychology  ,SP  ,2013
BNS 350     ,Advanced Research Topics  ,SP  ,2013
BNS 351     ,Advanced Research Topics  ,SP  ,2013
BNS 370     ,Sensation and Perception  ,SP  ,2013
BNS 500     ,Senior Seminar  ,SP  ,2013
CHE 117     ,Chemistry and the Modern World  ,SP  ,2013
CHE 117L    ,CHE 117 Lab  ,SP  ,2013
CHE 131     ,General Chemistry-I  ,SP  ,2013
CHE 131L    ,CHE 131 Lab  ,SP  ,2013
CHE 132     ,General Chemistry-II  ,SP  ,2013
CHE 132L    ,CHE 132 Lab  ,SP  ,2013
CHE 241     ,Organic Chemistry-I  ,SP  ,2013
CHE 241L    ,CHE 241 Lab  ,SP  ,2013
CHE 242     ,Organic Chemistry-II  ,SP  ,2013
CHE 242L    ,CHE 242 Lab  ,SP  ,2013
CHE 252     ,Metals in Medicine  ,SP  ,2013
CHE 350     ,Instrumental Analysis  ,SP  ,2013
CHE 350L    ,CHE 350 Lab  ,SP  ,2013
CHE 361     ,Thermodynamics and Kinetics  ,SP  ,2013
CHE 401     ,Independent Study  ,SP  ,2013
CHE 405     ,Advanced Research Topics  ,SP  ,2013
CHN 120     ,Fundamentals of Chinese-II  ,SP  ,2013
CHN 220     ,Intermediate Chinese-II  ,SP  ,2013
CHN 401     ,Independent Study  ,SP  ,2013
